;;;;;;
;Наименование и адрес;АПО;ПнД;Cтом;Cтац;СМП
;"""Врчбн-фзкльтрнй диспансер Екатеринбург"" МАУ"" РЕОРГАНИЗАЦИЯ 620027, Свердловская обл, Екатеринбург г, Еремина ул, дом № 15;";АПО;;СП;;
;"""ЦСМТ"" (СМТ клиника) ООО
620144, Свердловская обл, Екатеринбург г, Серова ул, дом № 45";АПО;;;;
;"""ЦГКБ № 6"" МБУ Екатеринбург"" 620149, Свердловская обл, Екатеринбург г, Серафимы Дерябиной ул, дом № 34;";АПО;;;Стац;
;"""ЦГБ № 7""МБУ"" 620137, Свердловская обл, Екатеринбург г, Вилонова ул, дом № 33;";АПО;;;Стац;
;"""ЦГКБ № 23"" МАУ 620017, Свердловская обл, Екатеринбург г, Старых Большевиков ул, дом № 9;";АПО;;;Стац;
;"""Консилиум КДЦ"" ООО 620085, Свердловская обл, Екатеринбург г, Военная ул, дом № 22;";АПО;;СП;;
;"""Мараканд"" ООО 620085, Свердловская обл, Екатеринбург г, Агрономическая ул, дом № 31;";;;СС;;
;"""Ситилаб-Урал"" ООО 620085, Свердловская обл, Екатеринбург г, 8 Марта ул, дом № 207;";АПО;;;;
;"""КЛИНИКА ДЕНТАЛ-ПРАКТИКА"" ООО 620075, Свердловская обл, Екатеринбург г, Мичурина ул, дом № 37;";;;СС;;
;"""Хелсидент"" ООО 620109, Свердловская обл, Екатеринбург г, Анри Барбюса ул, дом № 6;";;;СП;;
;"""ЦГБ № 3"" 620027, Свердловская обл, Екатеринбург г, Братьев Быковых ул, дом № 16;";АПО;;;Стац;
;"""Клиника ""Уральская"" ООО 620137, Свердловская обл, Екатеринбург г, Чекистов ул, дом № 16, кв.1;";АПО;;;;
;"""Фарма-Дент"" ООО 620039, Свердловская обл, Екатеринбург г, 40-летия Октября ул, дом № 3;";;;СС;;
;"""Уральский"" МЦ на Тольятти"" ООО 620102, Свердловская обл, Екатеринбург г, Пальмиро Тольятти ул, дом № 11, корпус а;";АПО;ПНД;;;
;"""Аврора стоматология"" ООО 620109, Свердловская обл, Екатеринбург г, Мельникова ул, дом № 40;";;;СС;;
